"counts_all_1","counts_all_2","counts_all_3","counts_all_4","counts_gametes_0","counts_gametes_1","counts_gametes_2","counts_gametes_3","counts_gametes_4","counts_offspring_sexual_1","counts_offspring_sexual_2","counts_offspring_sexual_3","counts_offspring_sexual_4","counts_offspring_asexual_1","counts_offspring_asexual_2","counts_offspring_asexual_3","counts_offspring_asexual_4","counts_offspring_survived_1","counts_offspring_survived_2","counts_offspring_survived_3","counts_offspring_survived_4","counts_parent_survived_1","counts_parent_survived_2","counts_parent_survived_3","counts_parent_survived_4"
3,407,345,6,3214,1638,1687,1069,2,1390,1777,1622,826,0,235,911,59,2.6215505913272,52.9553219448095,68.1603153745072,9.26281208935611,0,336,291,1
10,405,328,18,3150,1724,1753,981,2,1415,1830,1567,857,11,243,869,52,2.26938239159001,57.7660972404731,85.8239159001314,11.1406044678055,1,345,256,2
4,425,320,12,3145,1758,1708,992,7,1469,1794,1604,880,43,283,754,167,2.18659658344284,52.8147174770039,63.4113009198423,9.58738501971091,4,356,269,4
1,393,345,22,3112,1721,1802,971,4,1411,1855,1630,846,23,266,774,110,1.49014454664915,57.9027595269382,86.4283837056505,16.1787122207622,2,346,251,0
3,384,360,14,3073,1729,1758,1039,11,1348,1827,1619,906,3,227,906,209,2.98028909329829,57.6898817345598,90.2601839684626,11.0696452036794,1,327,268,3
6,390,357,8,3132,1719,1679,1072,8,1472,1702,1638,890,9,241,902,123,1.56636005256242,52.2772667542707,85.1708278580815,9.98554533508541,2,328,282,0
9,366,377,9,3101,1786,1654,1062,7,1471,1758,1677,873,26,230,880,74,1.97109067017083,45.6636005256242,66.3600525624179,11.0052562417871,2,341,293,0
2,373,377,9,3080,1691,1732,1103,4,1377,1783,1726,862,34,243,968,85,1.19053876478318,60.1222076215506,82.5440210249672,7.14323258869908,3,309,297,1
1,344,407,9,3173,1637,1705,1091,4,1344,1788,1668,846,6,249,968,83,2.34165571616294,66.8436268068331,82.1708278580815,10.6438896189225,0,298,301,0
2,345,406,8,3113,1698,1592,1202,5,1382,1667,1750,862,7,209,982,84,1.59658344283837,47.1879106438896,75.9264126149803,10.2890932982917,0,292,333,1
1,340,407,13,3119,1680,1598,1207,6,1387,1685,1662,856,9,218,986,74,0.197109067017083,53.4165571616294,83.9684625492773,12.4178712220762,1,288,322,0
1,327,420,13,3130,1719,1587,1169,5,1416,1695,1685,858,4,228,984,119,1.72141918528252,40.281208935611,79.3574244415243,9.63994743758213,0,294,335,1
3,336,410,12,3157,1641,1556,1249,7,1385,1637,1690,846,4,191,1029,123,2.1419185282523,52.9053876478318,96.3863337713535,11.5663600525624,1,281,316,0
0,321,433,7,3238,1641,1566,1160,5,1382,1715,1663,814,14,219,983,109,1.03153745072273,47.6570302233903,95.107752956636,13.203679369251,1,275,328,0
3,336,413,9,3113,1625,1588,1281,3,1326,1657,1699,922,0,207,1047,63,1.37976346911958,54.2049934296978,82.1944809461235,12.2207621550591,0,266,344,1
0,318,437,6,3172,1675,1574,1184,5,1444,1621,1646,848,9,210,1041,81,1.23784494086728,48.688567674113,95.9329829172142,11.1406044678055,1,278,325,0
4,300,446,11,3188,1647,1523,1249,3,1395,1642,1632,884,0,183,1089,56,1.72404730617608,50.4283837056505,99.1327201051248,12.7148488830486,0,261,335,1
7,306,437,11,3162,1586,1547,1310,5,1319,1595,1733,904,15,157,1105,103,1.26938239159001,48.5992115637319,77.0696452036794,11.0617608409987,3,262,357,1
9,309,421,22,3148,1662,1550,1241,9,1390,1618,1759,800,24,187,1098,106,1.80814717477004,50.1760840998686,107.358738501971,12.6570302233903,4,244,339,2
2,339,403,17,3210,1558,1570,1259,13,1314,1631,1727,852,41,181,1077,204,2.3850197109067,51.6031537450723,99.7371879106439,11.2746386333771,4,258,333,1
0,331,420,10,3225,1601,1624,1155,5,1332,1736,1675,829,7,230,993,152,1.11169513797635,49.4704336399474,79.4862023653088,10.9316688567674,0,286,332,2
0,327,420,14,3123,1682,1586,1214,5,1373,1648,1704,854,0,213,1069,92,2.31800262812089,50.4165571616294,83.2549277266754,11.0105124835742,0,268,343,3
1,379,378,3,3096,1609,1593,1309,3,1282,1683,1748,872,0,204,1022,134,1.49934296977661,59.1169513797635,88.6754270696452,13.7082785808147,0,278,319,1
2,377,380,2,3097,1723,1715,1073,2,1423,1795,1630,845,4,257,916,29,1.20499342969777,47.1668856767411,76.7752956636005,5.85282522996058,0,326,304,0
7,380,368,6,3119,1709,1668,1114,0,1355,1796,1642,879,7,241,874,20,2.75427069645204,47.8554533508541,72.1274638633377,8.26281208935611,1,322,307,0
3,377,364,17,3105,1710,1680,1112,3,1398,1715,1669,854,32,216,882,54,1.89224704336399,52.7936925098555,80.042049934297,9.27201051248358,2,326,289,0
5,364,371,21,3101,1751,1704,1052,2,1403,1773,1681,875,11,237,871,162,2.11038107752957,55.6373193166886,76.9329829172142,11.3193166885677,1,316,294,4
6,378,369,8,3086,1763,1647,1109,5,1438,1740,1683,849,24,215,926,195,1.53482260183968,51.4165571616294,82.688567674113,10.3600525624179,1,310,303,1
2,368,380,11,3098,1699,1700,1109,4,1395,1791,1641,898,23,273,906,70,1.86596583442838,57.0985545335085,71.8396846254928,11.1957950065703,2,321,295,1
2,356,397,6,3107,1658,1748,1092,5,1348,1802,1638,903,8,208,929,99,1.19842312746386,62.9172141918528,77.0985545335085,10.7858081471748,2,300,306,1
